[0/2] Re-checking globbed directories...
ninja: no work to do.
[FatTree] k=4  routing=ecmp  hosts=16  elephants=40  mice=40
[FatTree] FlowMonitor saved to results/fat-tree-ecmp-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
    71  TCP  10.0.47.2:49156->10.0.33.2:5006   93448   93445           95.43         5.00
    72  TCP  10.0.33.2:5006->10.0.47.2:49156   47118   47118            4.27         0.00
    73  TCP  10.0.38.2:49157->10.0.33.2:5018   98294   98291          111.70         5.00
    74  TCP  10.0.33.2:5018->10.0.38.2:49157   49638   49638            5.01         0.00
    75  TCP  10.0.40.2:49154->10.0.32.2:5011   98439   98436          124.35         4.00
    76  TCP  10.0.32.2:5011->10.0.40.2:49154   49769   49769            5.58         0.00
    77  UDP  10.0.47.2:49155->10.0.40.2:6021    4813    4813            4.75         0.00
    78  TCP  10.0.47.2:49157->10.0.40.2:5037   89995   89991           92.30         5.00
    79  TCP  10.0.40.2:5037->10.0.47.2:49157   45485   45485            4.14         0.00
    80  TCP  10.0.40.2:49155->10.0.35.2:5013   98234   98231          124.56         4.00
    81  TCP  10.0.35.2:5013->10.0.40.2:49155   49588   49588            5.58         0.00
    82  TCP  10.0.37.2:49153->10.0.35.2:5039   98195   98192          112.15         4.00
    83  TCP  10.0.35.2:5039->10.0.37.2:49153   49550   49550            5.02         0.00
    84  TCP  10.0.34.2:49153->10.0.38.2:5021   98219   98216          114.12         4.00
    85  TCP  10.0.38.2:5021->10.0.34.2:49153   49577   49577            5.11         0.00
    86  TCP  10.0.47.2:49158->10.0.42.2:5015   89712   89708           92.60         5.00
    87  TCP  10.0.42.2:5015->10.0.47.2:49158   45350   45350            4.15         0.00
    88  UDP  10.0.45.2:49156->10.0.42.2:6024    5128    5128            4.88         0.00
    89  TCP  10.0.35.2:49155->10.0.36.2:5020   98140   98137          114.65         4.00
    90  TCP  10.0.36.2:5020->10.0.35.2:49155   49504   49504            5.13         0.00
    91  TCP  10.0.39.2:49155->10.0.40.2:5019   95805   95801           99.50         5.00
    92  TCP  10.0.40.2:5019->10.0.39.2:49155   48368   48368            4.46         0.00
    93  TCP  10.0.44.2:49154->10.0.45.2:5027  108099  108099          845.17         1.00
    94  TCP  10.0.45.2:5027->10.0.44.2:49154   54051   54051           40.92         0.00
    95  TCP  10.0.43.2:49154->10.0.46.2:5008  108574  108574          151.55         1.00
    96  TCP  10.0.46.2:5008->10.0.43.2:49154   54288   54285            7.37         6.00
    97  TCP  10.0.45.2:49155->10.0.32.2:5040   91042   91039           94.69         4.00
    98  TCP  10.0.32.2:5040->10.0.45.2:49155   45906   45906            4.23         0.00
    99  UDP  10.0.45.2:49155->10.0.33.2:6020    5126    5126            5.02         0.00
   100  UDP  10.0.36.2:49153->10.0.38.2:6037    5194    5194            5.04         0.00
   101  UDP  10.0.32.2:49154->10.0.39.2:6006    6004    6004            5.86         0.00
   102  UDP  10.0.33.2:49153->10.0.36.2:6017    5428    5428            5.30         0.00
   103  UDP  10.0.38.2:49154->10.0.33.2:6031    5552    5552            5.45         0.00
   104  UDP  10.0.44.2:49153->10.0.36.2:6004    5382    5382            5.56         0.00
   105  UDP  10.0.40.2:49154->10.0.39.2:6038    4429    4429            4.39         0.00
