[0/2] Re-checking globbed directories...
ninja: no work to do.
[FatTree] k=4  routing=spray  hosts=16  elephants=40  mice=40
[FatTree] FlowMonitor saved to results/fat-tree-spray-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
    71  TCP  10.0.47.2:49156->10.0.33.2:5006   97861   97861          178.76         0.00
    72  TCP  10.0.33.2:5006->10.0.47.2:49156   55577   55577            9.19         0.00
    73  TCP  10.0.38.2:49157->10.0.33.2:5018   97894   97894          205.68         0.00
    74  TCP  10.0.33.2:5018->10.0.38.2:49157   57954   57954           11.11         0.00
    75  TCP  10.0.40.2:49154->10.0.32.2:5011   97898   97898          239.86         0.00
    76  TCP  10.0.32.2:5011->10.0.40.2:49154   56106   56106           12.48         0.00
    77  UDP  10.0.47.2:49155->10.0.40.2:6021    4813    4813            4.75         0.00
    78  TCP  10.0.47.2:49157->10.0.40.2:5037   97860   97860          181.05         0.00
    79  TCP  10.0.40.2:5037->10.0.47.2:49157   55389   55389            9.28         0.00
    80  TCP  10.0.40.2:49155->10.0.35.2:5013   97890   97890          259.75         0.00
    81  TCP  10.0.35.2:5013->10.0.40.2:49155   55536   55536           13.35         0.00
    82  TCP  10.0.37.2:49153->10.0.35.2:5039   97899   97899          256.20         0.00
    83  TCP  10.0.35.2:5039->10.0.37.2:49153   55686   55686           13.22         0.00
    84  TCP  10.0.34.2:49153->10.0.38.2:5021   97885   97885          196.53         0.00
    85  TCP  10.0.38.2:5021->10.0.34.2:49153   54656   54656            9.92         0.00
    86  TCP  10.0.47.2:49158->10.0.42.2:5015   97865   97865          181.35         0.00
    87  TCP  10.0.42.2:5015->10.0.47.2:49158   55242   55242            9.26         0.00
    88  UDP  10.0.45.2:49156->10.0.42.2:6024    5128    5128            4.88         0.00
    89  TCP  10.0.35.2:49155->10.0.36.2:5020   97898   97898          250.27         0.00
    90  TCP  10.0.36.2:5020->10.0.35.2:49155   55625   55625           12.89         0.00
    91  TCP  10.0.39.2:49155->10.0.40.2:5019   97918   97918          235.33         0.00
    92  TCP  10.0.40.2:5019->10.0.39.2:49155   59534   59534           13.13         0.00
    93  TCP  10.0.44.2:49154->10.0.45.2:5027  108104  108104          828.90         1.00
    94  TCP  10.0.45.2:5027->10.0.44.2:49154   54053   54053           40.14         0.00
    95  TCP  10.0.43.2:49154->10.0.46.2:5008   97885   97885          304.02         0.00
    96  TCP  10.0.46.2:5008->10.0.43.2:49154   55579   55579           15.65         0.00
    97  TCP  10.0.45.2:49155->10.0.32.2:5040   97901   97901          215.78         0.00
    98  TCP  10.0.32.2:5040->10.0.45.2:49155   56539   56539           11.33         0.00
    99  UDP  10.0.45.2:49155->10.0.33.2:6020    5126    5126            5.02         0.00
   100  UDP  10.0.36.2:49153->10.0.38.2:6037    5194    5194            5.04         0.00
   101  UDP  10.0.32.2:49154->10.0.39.2:6006    6004    6004            5.86         0.00
   102  UDP  10.0.33.2:49153->10.0.36.2:6017    5428    5428            5.30         0.00
   103  UDP  10.0.38.2:49154->10.0.33.2:6031    5552    5552            5.45         0.00
   104  UDP  10.0.44.2:49153->10.0.36.2:6004    5382    5382            5.56         0.00
   105  UDP  10.0.40.2:49154->10.0.39.2:6038    4429    4429            4.39         0.00
   106  UDP  10.0.34.2:49155->10.0.45.2:6012    5814    5814            6.34         0.00
   107  UDP  10.0.38.2:49155->10.0.35.2:6019    6340    6340            6.46         0.00
   108  UDP  10.0.35.2:49153->10.0.45.2:6003    4629    4629            4.79         0.00
   109  UDP  10.0.36.2:49155->10.0.47.2:6001    4436    4436            4.60         0.00
   110  UDP  10.0.45.2:49157->10.0.42.2:6013    6977    6977            7.31         0.00
   111  UDP  10.0.34.2:49156->10.0.38.2:6035    3103    3103            3.32         0.00
   112  UDP  10.0.44.2:49154->10.0.35.2:6002    5967    5967            6.54         0.00
   113  UDP  10.0.37.2:49153->10.0.36.2:6008    5543    5543            5.90         0.00
   114  UDP  10.0.37.2:49154->10.0.41.2:6027    4299    4299            4.61         0.00
   115  UDP  10.0.35.2:49154->10.0.32.2:6011    4868    4868            5.34         0.00
   116  UDP  10.0.40.2:49155->10.0.41.2:6005    5037    5037            5.38         0.00
   117  UDP  10.0.45.2:49158->10.0.47.2:6030    4218    4218            4.55         0.00
   118  UDP  10.0.44.2:49156->10.0.34.2:6028    5468    5468            5.90         0.00
   119  UDP  10.0.44.2:49155->10.0.34.2:6016    3933    3933            4.37         0.00
   120  UDP  10.0.36.2:49154->10.0.46.2:6010    4609    4609            5.08         0.00
--------------------------------------------------------------------------------
Total flows: 120  TxPkts: 6400919  RxPkts: 6400918  AvgDelay: 0.03 ms
